Mês ;Unidade;Prefeitura regional;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades"
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.667-00;2016-0.133.845-3;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;2.102,69;TV  RENASCER 99999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.668-00;2016-0.133.824-0;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;1.679,40;TV  RENASCER 99999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.711-00;2016-0.178.020-2;AUTO DE REGULARIZACAO;04/08/2016;136.348.0024-1;EHIS; ZEIS-1/L142;Z2.;GUAIANAZES;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;683,82;R   MANOEL ANTONIO G.BASTOS 52 LT 17B QD 06A;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.712-00;2016-0.133.834-8;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;2.575,57;TV  RENASCER 99999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.716-00;2016-0.133.856-9;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;1.068,40;TV  RENASCER 99999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.718-00;2016-0.133.817-8;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;1.495,85;TV  RENASCER 99999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.719-00;2016-0.133.833-0;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;1.925,43;TV  RENASCER 99999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.01.723-00;2016-0.178.070-9;AUTO DE REGULARIZACAO;04/08/2016;136.351.0078-0;EHIS; ZEIS-1/L142;Z2.;C H PRESID JUSCELINO;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;1.025,59;R   PROFESSOR THEOTONIO PAVAO 99999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.02.112-00;2016-0.133.828-3;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS;;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;LAJEADO ;;COHAB;1.459,79;TV  RENASCER 99999 ;31/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.02.113-00;2016-0.133.823-2;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;2.321,40;TV  RENASCER 99999 ;31/01/2017;;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.02.115-00;2016-0.133.850-0;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;1.129,29;TV  RENASCER 99999 ;31/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.02.116-00;2016-0.133.843-7;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;1.086,66;TV  RENASCER 99999 ;31/01/2017;;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;GUAIANASES                    ;2017.02.124-00;2016-0.133.832-1;AUTO DE REGULARIZACAO;10/06/2016;135.295.0098-3;EHIS; ZEIS-1/L134;Z2.;LAJEADO ;;COHAB;2.739,35;TV  RENASCER 99999 ;31/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;JABAQUARA                     ;2017.02.065-00;2003-1.019.768-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;19/09/2003;089.280.0125-0;C2.6;;Z2.;JABAQUARA;;ESPÓLIO DE HANNA NAGIB CHAHINE;780,00;R   JURUPARI 00469 ;31/01/2017;ALI AHMAD GHAZZAOUI;;;;
Janeiro;SEL-G               ;JACANA/ TREMEMBE               ;2017.01.717-00;2016-0.147.356-3;AUTO DE REGULARIZACAO;28/06/2016;066.669.0001-4;EHIS; ZEIS-1 / ZEIS-1/N136;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;JACANA;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;338,19;TV  RIO IVAI 00 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;JACANA/ TREMEMBE               ;2017.01.720-00;2016-0.147.354-7;AUTO DE REGULARIZACAO;28/06/2016;066.667.0001-5;EHIS; ZEIS-1;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;PQ EDU CHAVES;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;2.548,39;TV  IGARAPE VINTEM 999 ;24/01/2017;;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;MOOCA                         ;2017.00.156-00;2003-1.046.347-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;18/11/2003;052.060.0096-5;"S2.8; S2.9";;Z2.;VILA PRUDENTE -ESQUI;;MANUEL JOÃO DA CUNHA MORAIS;917,50;AV  SAPOPEMBA 001202 R. MIGUEL MOTA,170;03/01/2017;SANDRA COTRIN HUERTAS ANTONIO;;;;
Janeiro;SEL-G               ;PENHA                         ;2017.00.589-00;2011-0.343.018-8;RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;02/12/2011;059.131.0040-9;H.I.S; ZM-2;Z2.;ERMELINO MATARAZZO;801,28;BENTO RODRIGUES DA SOLVA;510,00;R   MUNICIPAL 00942 /948 VL RE;06/01/2017;MARCELO ABBALLE;;MARCELO ABBALLE;;B: 8 P: 2 U: 1
Janeiro;SEL-G               ;PENHA                         ;2017.00.590-00;2011-0.343.018-8;ALVARA DE DESDOBRO DE LOTE;02/12/2011;059.131.0040-9;; ZM-2;Z2.;ERMELINO MATARAZZO;;BENTO RODRIGUES DA SOLVA;950,00;R   MUNICIPAL 00942 /948 VL RE;06/01/2017;MARCELO ABBALLE;;MARCELO ABBALLE;;
Janeiro;SEL-G               ;PENHA                         ;2017.00.814-00;2011-0.343.018-8;AUTO DE REGULARIZACAO;02/12/2011;059.131.0040-9;R; ZM-2;ZONA MISTA DE MEDIA DENSIDADE.;ERMELINO MATARAZZO;;BENTO RODRIGUES DA SOLVA;550,00;R   MUNICIPAL 00942 /948 VL RE;10/01/2017;MARCELO ABBALLE;;MARCELO ABBALLE;;
Janeiro;SEL-G               ;VILA MARIANA                  ;2017.00.152-00;2003-1.062.123-9;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;047.167.0036-4;"S3; R";;Z3-205.;MIRANDOPOLIS;;L.W.R EMPREENDIMENTOS E PARTICIPACOES LTDA;696,00;AV  JABAQUARA 02926 LOJA;03/01/2017;;;;;
Janeiro;SEL-G               ;;2017.01.631-00;2016-0.249.692-3;AUTO DE REGULARIZACAO;09/11/2016;6666666666666;EHIS;;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;PREFEITURA DO MUNICIPIO DE SAO PAULO;1.668,16;R   CAPITAO MANUEL P DE ALMEIDA 999 ;23/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.01.632-00;2016-0.266.937-2;AUTO DE REGULARIZACAO;05/12/2016;6666666666666;EHIS;;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;PREFEITURA DO MUNICIPIO DE SAO PAULO;3.228,27;R   CAPITAO MANUEL P DE ALMEIDA 999 ;23/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.01.633-00;2016-0.249.710-5;AUTO DE REGULARIZACAO;09/11/2016;6666666666666;EHIS;;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;PREF.DE SAO PAULO;1.502,51;R   CAPITAO MANUEL P DE ALMEIDA 999 ;23/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.01.634-00;2016-0.248.684-7;AUTO DE REGULARIZACAO;08/11/2016;6666666666666;EHIS;;Z2.;SAO RAFAEL;;PREFEITURA MUNICIPAL DE SAO PAULO;2.102,69;R   CAPITAO MANUEL P DE ALMEIDA 999 ;23/01/2017;;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.01.635-00;2016-0.241.873-6;AUTO DE REGULARIZACAO;28/10/2016;6666666666666;EHIS;;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;PREF.DE SAO PAULO;2.108,85;R   CAPITAO MANUEL P DE ALMEIDA 999 ;23/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.01.700-00;2016-0.252.084-0;AUTO DE REGULARIZACAO;11/11/2016;6666666666666;EHIS;;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;PREFEITURA MUNICIPAL DE SAO PAULO;1.495,91;R   CAPITAO MANUEL P DE ALMEIDA 999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.01.701-00;2016-0.241.864-7;ALVARA DE DESMEMBRAMENTO DE GLEBA;28/10/2016;6666666666666;; ZONA NÃO DEFINIDA;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO;314,15;R   CAPITAO MANUEL P DE ALMEIDA 999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.01.702-00;2016-0.241.864-7;AUTO DE REGULARIZACAO;28/10/2016;6666666666666;EHIS;;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO;1.910,63;R   CAPITAO MANUEL P DE ALMEIDA 999 ;24/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.02.076-00;2016-0.252.079-4;AUTO DE REGULARIZACAO;11/11/2016;6666666666666;HIS; ZEIS-1/999 LINDEIRA A 99;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;PREFEITURA MUNICIPAL DE SAO PAULO;1.851,47;R   CAPITAO MANUEL P DE ALMEIDA 999 ;31/01/2017;;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.02.077-00;2016-0.252.079-4;ALVARA DE DESMEMBRAMENTO DE GLEBA;11/11/2016;6666666666666;; ZEIS-1/999 LINDEIRA A 99;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;PREFEITURA MUNICIPAL DE SAO PAULO;150,19;R   CAPITAO MANUEL P DE ALMEIDA 999 ;31/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL-G               ;;2017.02.114-00;2016-0.133.829-1;AUTO DE REGULARIZACAO;10/06/2016;6666666666666;EHIS; ZEIS-1/999 LINDEIRA A 99;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;SAO RAFAEL;;COHAB;1.501,10;R   CAPITAO MANUEL P DE ALMEIDA 999 ;31/01/2017;CELSO APARECIDO SAMPAIO;;CELSO APARECIDO SAMPAIO;;
Janeiro;SEL/GTEC            ;CAMPO LIMPO                   ;2015.29.342-01;2016-0.063.975-1;APOSTILAMENTO DE AUTO DE REGULARIZACAO;16/03/2016;171.164.0106-6;R301;;Z2.;VILA SUZANA;;CONDOMINIO EDIFICIO VILLA MORUMBI                 ;1.666,35;R   RAIMUNDO SIMAO DE SOUZA 00166 AP 81;05/01/2017;LUCIA LAMANNA FERRARI;;;;
Janeiro;SEL/GTEC            ;CASA VERDE/ CACHOEIRINHA       ;2017.00.682-00;2003-1.019.504-3;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;19/09/2003;076.065.0132-7;C2.3;;Z2.;SANTANA;;MORIO TAKAHASHI;700,00;AV  LASAR SEGALL 00673 675;09/01/2017;MANOEL NAVARRO FILHO;;;;
Janeiro;SEL/GTEC            ;CASA VERDE/ CACHOEIRINHA       ;2017.01.705-00;2003-1.048.243-3;AUTO DE REGULARIZACAO LEI N:13.558/2003;19/11/2003;306.002.0020-2;S2.1;;Z8-CR1-I LIND. Z18.;JARDIM SAO BENTO;;FRANCISCO BATISTA PRETO;393,90;R   LEAO XIII 00198 ;24/01/2017;CARLOS ALBERTO DUARTE MOREIRA;;;;
Janeiro;SEL/GTEC            ;ITAQUERA                      ;2017.02.021-00;2003-1.039.761-4;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;30/10/2003;145.021.0001-2;"C2.4; S2.6";;Z2.;ITAQUERA;;MARIA APARECIDA CIARDI;415,00;AV  LIDER 01965 1975;30/01/2017;CONCEICAO APARECIDA DA COSTA ABREU;;;;
Janeiro;SEL/GTEC            ;JACANA/ TREMEMBE               ;2017.01.489-00;2003-1.059.231-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;067.064.0081-5;C2.4;;Z3-004.;VILA MAZZEI;;P.H.E. ADMINISTRADORA LTDA;9.676,42;R   MANUEL GAYA 00390 442;20/01/2017;GIL DE DEUS RODRIGUES;;;;
Janeiro;SEL/GTEC            ;LAPA                          ;2012.14.862-01;2003-1.018.826-8;APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;18/09/2003;021.015.0103-1;"E2.1; S2.3";;Z3-099.;BARRA FUNDA;;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC;1.315,00;AV  FRANCISCO MATARAZZO 00249 271;06/01/2017;;;;;
Janeiro;SEL/GTEC            ;PENHA                         ;2017.01.309-00;2003-1.036.411-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;14/10/2003;058.045.0120-8;S2.5;;Z2.;VL MATILDE;;T & G EMPREENDIMENTOS TURISTICOS LTDA;1.377,72;R   JOAQUIM MARRA 00638 ;18/01/2017;GILBERTO TRAMA;;;;
