Mês;Unidade;Subprefeitura;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades"
janeiro;SEL-G               ;JABAQUARA                     ;2016.01.803-00;2003-1.020.579-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;091.015.0034-1;"C2.3; S2.1";;Z3-241.;CID. VARGAS;;RAUL VAZ ALVES - EMPRESA INDIVIDUAL;304,20;AV  ENGO ARMANDO DE ARRUDA PEREIRA 2372 LT 895 QD 35;29/01/2016;MASAHARU HAGIHARA;;MASAHARU HAGIHARA;;
janeiro;SEL-G               ;M BOI MIRIM                   ;2016.01.805-00;2003-1.056.489-8;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;094.142.0194-7;R201;;Z2.;PQEUROPA;;SIDNEY DA SILVA ALVES;250,00;AV  AGENOR DE OLIVEIRA 00115 148;29/01/2016;ALEXANDRE MONTEIRO CASTELLARI;;;;
janeiro;SEL-G               ;MOOCA                         ;2016.00.787-00;2006-0.060.590-2;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;017.040.0006-8;"NR2-03; NR1-02";ZM-3A;Z2.;CANINDE;158,62;ALIPIO PINTO;1.902,50;R   DAS OLARIAS 000168 ;18/01/2016;CLAUDIO DESONTINI;;CLAUDIO DESONTINI;;
janeiro;SEL-G               ;PINHEIROS                     ;2016.00.843-00;2008-0.177.989-4;RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE ACESSIBILIDADE;;299.128.0028-1;NR1-04;"ZCL-A LINDEIRA A ZM-2; OU/001";Z2.;ITAIM BIBI;;COND.EDIF.ANTONIO ALVES FERREIRA GUEDES;;AV  BRIGADEIRO FARIA LIMA 3729 LOJA;18/01/2016;PAULA FERNANDES DIAS;;PAULA FERNANDES DIAS;;
janeiro;SEL-G               ;PIRITUBA                      ;2016.01.802-00;2003-1.024.565-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;077.372.0209-9;S2;;Z3-051.;VILA URSULINA;;GIOLANGE OLIVEIRA DA SILVA;376,88;R   ANTONIO DE PROENCA 00115 111;29/01/2016;JOAO RODRIGUES FERNANDES FILHO;;;;
janeiro;SEL-G               ;SANTO AMARO                   ;2016.01.806-00;2008-0.255.956-1;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;;087.124.0043-2;NR2-03;ZCL-A/001 LINDEIRA A ZM-1;  ;SANTO AMARO;;HENRIQUE JULIO CAMPOS DE CAMARGO;900,00;R   AMERICO BRASILIENSE 001026 ;29/01/2016;CLAUDIO DESONTINI;;;;
janeiro;SEL-G               ;SAPOPEMBA                     ;2016.01.602-00;2015-0.300.480-1;AUTO DE REGULARIZACAO;;153.062.0003-5;EHIS;"ZEIS-1/L161; ZEIS-1/L161";Z2.;SAPOPEMBA;;CDHU;4.255,54;R   AUGUSTIN LUBERTI 000880 940;28/01/2016;"AGUINALDO LOPES QUINTANA NETO; LIENNE MARIA LIARTE";;;;
janeiro;SEL-G               ;VILA MARIA/ VILA GUILHERME     ;2016.00.792-00;2003-1.058.289-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;066.134.0207-9;E2.5;;Z2.;VILA MEDEIROS;;IGREJA ADVENTISTA DA PROMESSA;292,17;R   FRANCISCO ALVES BEZERRA 01165 ;18/01/2016;NEIDE YURICO HOSHINO;;;;
janeiro;SEL-G               ;VILA MARIANA                  ;2016.00.788-00;2003-1.066.991-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;041.165.0101-8;R301;;Z3-187.;MOEMA;;CONDOMINIO EDIFICIO MASTER TOWER IBIRAPUERA;1.487,21;AV  IBIRAPUERA 02577 ;18/01/2016;CARLOS ALBERTO DUARTE MOREIRA;;;;
janeiro;SEL-G               ;;2015.14.226-01;2015-0.313.095-5;APOSTILAMENTO DE AUTO DE REGULARIZACAO;;6383581169203;NR3-01;;  ;VILA CARMOZINA;;EMERSON DURAN;62.340,21;R   IOSOSUKE OKAUE 000911 ;15/01/2016;;;;;
janeiro;SEL-G               ;;2015.14.227-01;2015-0.313.095-5;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;;6383581169203;NR3-01;;  ;VILA CARMOZINA;514,80;EMERSON DURAN;62.340,21;R   IOSOSUKE OKAUE 000911 ;15/01/2016;;;;;B: 1 P: 1 U: 1
janeiro;SEL/GTEC            ;ARICANDUVA/ FORMOSA/ CARRAO     ;2016.00.797-00;2003-1.062.758-0;AUTO DE REGULARIZACAO LEI N:13.558/2003;;116.312.0007-1;S2.3;;Z2.;ARICANDUVA;;AMIR GAVIOLI;500,00;R   INCONFIDENCIA MINEIRA 02047 E 2053;18/01/2016;ALEXANDRE MASSOLA TAVARES;;;;
janeiro;SEL/GTEC            ;ARICANDUVA/ FORMOSA/ CARRAO     ;2016.01.127-00;2003-1.002.914-3;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;055.038.0005-2;"S2; C2";;Z3-122.;CARRAO;;OMAR ABOU JOKH;208,00;R   ANICUNS 000000 ;20/01/2016;FRANCISCO JOSE DA CRUZ;;;;
janeiro;SEL/GTEC            ;ARICANDUVA/ FORMOSA/ CARRAO     ;2016.01.711-00;2003-1.051.287-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;055.378.0044-6;"S2; R1; I2";;Z2.;CARRAO;;SAKURA NAKAYA ALIMENTOS LTDA;2.924,98;R   NUNES BALBOA 000523 ;29/01/2016;GUILHERME SALUSTIANO DE ARAUJO NETO;;;;
janeiro;SEL/GTEC            ;CASA VERDE/ CACHOEIRINHA       ;2016.01.126-00;2003-1.029.233-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;076.065.0010-1;"S1; R; C1";;Z2.;IMIRIM;;ALZIRA ROSA SIMOES DIAS;528,00;AV  LASAR SEGALL 00523 ;20/01/2016;JOSE ALVES;;;;
janeiro;SEL/GTEC            ;CIDADE ADEMAR                 ;2016.01.633-00;2003-1.028.764-9;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;120.173.0115-8;R201;;Z2.;VILA MARARI;;AMAURI GOMES;656,35;AV  MARARI 000788 ;28/01/2016;NILTON ROBERTO CARREGA;;;;
janeiro;SEL/GTEC            ;IPIRANGA                      ;2016.01.635-00;2003-1.011.850-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;048.143.0002-6;"S1; C2";;Z2.;VILA MORAES;;FRANCISCO AUGUSTO FERNANDES;345,00;R   DOM VILARES 00202 ;28/01/2016;;;;;
janeiro;SEL/GTEC            ;ITAIM PAULISTA                ;2016.00.793-00;2003-1.025.350-7;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;112.234.0040-8;C2.5;;Z3-039.;SO MIGUEL PAULISTA;;ANTONIO IODICE;556,00;AV  MARECHAL TITO 02013 2019 2025;18/01/2016;;;;;
janeiro;SEL/GTEC            ;ITAQUERA                      ;2016.01.612-00;2003-1.064.044-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;146.088.0014-1;"R; C1.1";;Z2.;RASILIA;;TAKAO OGATA;310,93;AV  OSVALDO VALLE CORDEIRO 00498 LT 14 QD 28 JD B;28/01/2016;AYA CLAUDIA YAGI;;;;
janeiro;SEL/GTEC            ;ITAQUERA                      ;2016.01.726-00;2003-1.037.034-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;147.314.0040-5;"S2; C2";;Z2.;CIDADE LIDER;;WILSON POSSATO;4.006,40;R   MARIO FORTE 000126 ;29/01/2016;VALDIR XAVIER ROCHA;;;;
janeiro;SEL/GTEC            ;M BOI MIRIM                   ;2015.29.786-01;2003-1.053.299-6;APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;103.025.0223-7;I2;;  ;SANTO AMARO;;IRENE WALTER AULICINO;14.737,49;AV  GUIDO CALOI 001831 1839;21/01/2016;;;;;
janeiro;SEL/GTEC            ;MOOCA                         ;2016.00.796-00;2003-1.052.522-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;032.043.0007-2;S2.1;;Z2.;MOOCA;;FRANCISCO RUSSO;400,00;R   MADRE DE DEUS 00884 ;18/01/2016;;;;;
janeiro;SEL/GTEC            ;MOOCA                         ;2016.01.718-00;2004-1.013.058-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;025.003.0031-5;"I1; C2.3";;Z4-020.;BRAS;;KWANG HEE LEE;180,00;R   CASIMIRO DE ABREU 00397 ;29/01/2016;LUIS AUGUSTO GARCON;;;;
janeiro;SEL/GTEC            ;PINHEIROS                     ;2015.28.355-01;2003-1.064.128-0;APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;014.004.0016-3;"C2.2; C1.2";;  ;JARDINS;;GABRIEL LUIS DAUD ABBUD;467,70;R   BELA CINTRA 02023 ;27/01/2016;;;;;
janeiro;SEL/GTEC            ;PINHEIROS                     ;2016.01.744-00;2003-1.056.414-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;299.129.0020-9;S2.1;;Z2.;ITAIM;;ITAU RENT ADMINISTRACAO E PARTICIPACOES S/A;1.830,00;AV  PRES JUSCELINO KUBITSCHEK 1200 ;29/01/2016;VALERIA ALVES CRUZ;;;;
janeiro;SEL/GTEC            ;SANTANA/ TUCURUVI              ;2016.01.655-00;2003-1.060.285-4;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;072.104.0293-4;"S2.6; S2.1";;Z2.;SANTANA;;LAR DRUZO BRASILEIRO;1.520,00;R   CONS MOREIRA DE BARROS 00569 569 A;28/01/2016;;;;;
janeiro;SEL/GTEC            ;SANTANA/ TUCURUVI              ;2016.01.793-00;1994-0.126.628-0;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;;073.024.0116-0;S2.9;ZCP-A/003;Z2.;SANTANA;;MARLI DE OLIVEIRA RANCIARO;363,32;R   FERNANDO SANDRESCHI 61 ;29/01/2016;;;;;
janeiro;SEL/GTEC            ;SAPOPEMBA                     ;2016.00.795-00;1994-0.059.611-1;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;;155.035.0033-3;I1;ZM-2;Z2.;VL BANCARIA;;IZES DAILUCI GREGHI BELLA;380,00;R   DOS GERENTES 00007 ;18/01/2016;JOSE BENEDITO DIAS;;;;
janeiro;SEL/GTEC            ;SE                            ;2016.00.800-00;1994-0.104.851-7;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;;033.022.0264-4;"S2; C2.2";;Z3-140.;LIBERDADE;;MANUEL TAVARES BRILHANTE;284,50;R   TAMANDARE 000620 ;18/01/2016;ILVA REBOREDO;;;;
janeiro;SEL/GTEC            ;SE                            ;2016.01.654-00;2003-1.024.623-3;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;004.044.0025-6;"R301; C1.2";;Z3-140.;LIBERDADE;;JOAO CLIMACO PENNA TRINDADE;162,70;R   TEIXEIRA LEITE 00325 327;28/01/2016;;;;;
janeiro;SEL/GTEC            ;SE                            ;2016.01.723-00;2003-1.025.732-4;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;;034.009.0103-2;"S2.1; C1.2; R; S1.1";;Z2.;CAMBUCI;;CASA EDITORA PRESBITERIANA;1.121,26;R   MIGUEL TELES JUNIOR 00382 E 394;29/01/2016;;;;;
janeiro;SEL/GTEC            ;VILA MARIANA                  ;2016.01.124-00;2003-1.039.035-0;AUTO DE REGULARIZACAO LEI N:13.558/2003;;041.091.0040-2;C2.3;;Z8-CR1-I LIND. Z2.;IBIRAPUERA;;TRIMAX PARTICIPACAO E ADMINISTRACAO DO LIBANO;4.220,27;AV  IBIRAPUERA 1770 ;20/01/2016;SERGIO ANTONIO MARRA;;;;
janeiro;SEL/GTEC            ;VILA MARIANA                  ;2016.01.544-00;2009-0.067.256-7;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;;036.114.0021-1;S;"ZEPEC; ZCLZ-II/005 LINDEIRA A ZER-1";Z8-CR1-II LIND. Z1.;IBIRAPUERA;;WALTON NOSE;1.009,75;AV  REPUBLICA DO LIBANO 01034 ;27/01/2016;EDUARDO MIDEGA;;;;
janeiro;SEL/GTEC-1          ;ARICANDUVA/ FORMOSA/ CARRAO     ;2016.00.942-00;2003-1.023.152-0;AUTO DE REGULARIZACAO LEI N:13.558/2003;;055.214.0078-8;E2.1;;Z2.;VL FORMOSA;;ANTONIO PEREIRA MARQUES;297,90;R   ARAPOCA 000308 310;19/01/2016;FRANCISCO JOSE DA CRUZ;;;;
janeiro;SEL/GTEC-1          ;PENHA                         ;2016.00.943-00;2003-1.051.296-0;AUTO DE REGULARIZACAO LEI N:13.558/2003;;143.056.0006-3;C2.3;;Z2.;CH PE J DE ANCHIETA;;CIA METROP DE HAB DE SAO PAULO - COHAB;5.000,00;AV  SYLVIO TORRES 000190 ;19/01/2016;;;;;
janeiro;SEL/GTEC-1          ;PINHEIROS                     ;2016.00.914-00;2003-1.025.697-2;AUTO DE REGULARIZACAO LEI N:13.558/2003;;081.180.0001-1;"E3.5; S2-8; E3.1; C2.2; S2.1";;Z2.;PINHEIROS;;ASSOC ESP STO UNIF CRIST MUNDIAL;5.122,80;R   LISBOA 890 904 E 932;19/01/2016;JORGE ANGELO FANTONI;;;;
janeiro;SEL/GTEC-1          ;SANTANA/ TUCURUVI              ;2016.01.192-00;2003-1.061.155-1;AUTO DE REGULARIZACAO LEI N:13.558/2003;;073.025.0098-3;"C2.2; S2.1";;Z2.;SANTANA;;G MENDES F IND COM REPRESENTACOES LTDA;800,00;R   HENRIQUE BERNARDELLI 000101 113;21/01/2016;ANTONIO PEREIRA VIVA NETO;;;;
janeiro;SEL/GTEC-1          ;SANTO AMARO                   ;2016.00.931-00;2003-1.043.736-5;AUTO DE REGULARIZACAO LEI N:13.558/2003;;089.010.0042-3;"S2.8; C1.2";;88048002.;CAMPO BELO;;ITAGYBA SANTIAGO;790,53;AV  WASHINGTON LUIS 004530 ;19/01/2016;OLIVIA LOWENTHAL GIAQUINTO;;;;
janeiro;SEL/GTEC-1          ;SAO MATEUS                    ;2016.01.335-00;2004-1.002.707-0;AUTO DE REGULARIZACAO LEI N:13.558/2003;;152.258.0023-7;"C2.3; S1.1";;Z2.;JD RODOLPHO PIRANI;;LUIZ YASUKAZU ARASHIRO;350,00;AV  SAPOPEMBA 15858 B LT 22 QD 7;26/01/2016;DENILSON DE SOUZA VIEIRA;;;;
janeiro;SEL/GTEC-1          ;SAO MIGUEL                    ;2016.01.336-00;2003-1.020.020-9;AUTO DE REGULARIZACAO LEI N:13.558/2003;;112.772.0022-9;S2.8;;Z2.;VILA JACUI;;ANILDA NUNES DA SILVA;560,00;R   JAIME BARCELOS 00408 VL JACUI;26/01/2016;RENAN RAULINAVIXIUS;;;;
janeiro;SEL/GTEC-1          ;VILA MARIA/ VILA GUILHERME     ;2016.00.918-00;2003-1.041.389-0;AUTO DE REGULARIZACAO LEI N:13.558/2003;;304.004.0042-9;"C2.1; S2.1";;Z2.;VILA GUILHERME;;MANOEL RIBEIRO LAMELAS;500,00;R   CHICO PONTES 00305 ;19/01/2016;ADRIANO JUSTO MARCOS;;;;
janeiro;SEL/GTEC-1          ;VILA MARIANA                  ;2016.00.923-00;2004-1.003.843-8;AUTO DE REGULARIZACAO LEI N:13.558/2003;;047.079.0112-3;C2.3;;Z3-196.;JABAQUARA;;MARIA INES BETONI;480,00;AV  JABAQUARA 001730 1734;19/01/2016;;;;;
janeiro;SEL/PARHIS-1        ;CASA VERDE/ CACHOEIRINHA       ;2015.27.707-01;2015-0.262.115-7;APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA;;076.182.0045-9;"HIS; H.M.P; R2V";ZM-2/003;Z2.;FREGUESIA DO O;;MAURILIO ANTONIO MAIA E OUTROS;;AV  SEBASTIAO HENRIQUES 000575 ;11/01/2016;;;;;
janeiro;SEL/PARHIS-1        ;CASA VERDE/ CACHOEIRINHA       ;2016.00.508-00;2012-0.142.527-8;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;;305.076.0029-8;HIS 1;"ZEIS-5/N009; ZEIS-2/N021";Z2.;CACHOEIRINHA;;COHAB;;R   ELZA GUIMARAES 00277 LT.21 A 25;12/01/2016;EDGAR SACCHI FILHO;;EDGAR SACCHI FILHO;;
janeiro;SEL/PARHIS-1        ;IPIRANGA                      ;2014.27.424-01;2015-0.284.650-7;PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;157.181.0029-1;HIS 1;"ZEIS-1/C032; ZEIS-1/C032";Z2.;SACOMA;15.691,79;CIA. DE DESENV.HAB. E URBANO DO ESTADO DE SP;9.341,91;R   ARATIMBO 099999 ;11/01/2016;ANDRESSA TROGUILHO DA SILVA;;ANDRESSA TROGUILHO DA SILVA;;"B: 2 P: 16 U: 127; B: 1 P: 1 U: 0"
janeiro;SEL/PARHIS-1        ;ITAIM PAULISTA                ;2016.00.152-00;2014-0.308.083-2;ALVARA DE APROVACAO DE EDIFICACAO NOVA;;134.246.0002-3;H.I.S;"ZEIS-2/L067; ZEIS-2/L067";Z2.;ITAIM PAULISTA;13.933,17;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO - COHAB;9.785,41;R   JIPIOCA 000000 ;06/01/2016;EURO XAVIER SCHLITTLER;;LUIZ AUGUSTO OLIVEIRA MARTINS;;"B: 3 P: 10 U: 78; B: 3 P: 10 U: 78"
janeiro;SEL/PARHIS-1        ;ITAIM PAULISTA                ;2016.00.167-00;2014-0.308.083-2;ALVARA DE DESDOBRO DE LOTE;;134.246.0002-3;;ZEIS-2/L067;ZEIS-2      1067    SUBPREFEITURA 24  L;ITAIM PAULISTA;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO - COHAB;9.785,41;R   JIPIOCA 000000 ;06/01/2016;EURO XAVIER SCHLITTLER;;LUIZ AUGUSTO OLIVEIRA MARTINS;;
janeiro;SEL/PARHIS-1        ;ITAIM PAULISTA                ;2016.00.867-00;2014-0.357.193-3;ALVARA DE DESDOBRO DE LOTE;;132.283.0027-6;"HIS 2; H.M.P";"ZM-2/001; ZEIS-5/L024";Z2.;VLCURUCA;;CENDI CURUCA EMP. IMOB. SPE LTDA;4.688,00;R   OSORIO FRANCO VILHENA 01260 ;19/01/2016;ADRIANO AUGUSTO MEDARDONI CORBELLI;;JOSE CARLOS CARREIRO PEREIRA;;
janeiro;SEL/PARHIS-1        ;ITAIM PAULISTA                ;2016.00.868-00;2014-0.357.193-3;ALVARA DE APROVACAO DE EDIFICACAO NOVA;;132.283.0027-6;"HIS 2; H.M.P";"ZM-2/001; ZEIS-5/L024";Z2.;VLCURUCA;29.750,75;CENDI CURUCA EMP. IMOB. SPE LTDA;4.688,00;R   OSORIO FRANCO VILHENA 01260 ;19/01/2016;ADRIANO AUGUSTO MEDARDONI CORBELLI;;JOSE CARLOS CARREIRO PEREIRA;;B: 2 P: 25 U: 0
janeiro;SEL/PARHIS-1        ;ITAQUERA                      ;2015.10.768-01;2015-0.306.102-3;APOSTILAMENTO DE ALVARA DE DESDOBRO DE LOTE;;147.327.0053-4;HIS 1;"ZEIS-5/L008; ZEIS-2/L032";Z2.;VL MATILDE;;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;17.251,81;AV  OSVALDO VALLE CORDEIRO 99999 ;12/01/2016;;;;;
janeiro;SEL/PARHIS-1        ;PENHA                         ;2016.00.284-00;2015-0.033.937-3;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;;113.023.0002-3;HIS 2;"ZCP-A/009; EETU";Z19-008.;CID PATRIARCA;970,16;HPP EMPREENDIMENTOS IMOBILIARIOS LTDA;475,50;AV  CACHOEIRA PAULISTA 00431 ;07/01/2016;EVANDRO PACHECO JANUARIO;;EVANDRO PACHECO JANUARIO;;B: 1 P: 3 U: 24
janeiro;SEL/PARHIS-1        ;SANTANA/ TUCURUVI              ;2016.00.546-00;2015-0.335.363-6;APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO;;070.326.0713-6;"H.M.P; R2V-02; HIS";"ZM-1/003; 99/999 LINDEIRA A 99";ZONEAMENTO INDEFINIDO.;TUCURUVI;;MIZIARA EMPREE IMOB LTDA;;AV  PROFA  VIRGILIA R. A. DE C. PINTO 099999 ;12/01/2016;;;;;
janeiro;SEL/PARHIS-1        ;SAO MATEUS                    ;2015.27.921-01;2015-0.268.025-0;APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA;;194.228.0001-2;HIS 1;"ZEIS-2/L056; ZEIS-2/L056";Z9-009.;IGUATEMI;14.705,97;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;5.469,70;R   SESSENTA E UM (J.HELENA-IGU) 000000 ;21/01/2016;;;;;"B: 2 P: 16 U: 126; B: 1 P: 1 U: 0"
