Mês ;Unidade;Subprefeitura;Alvará;Processo;Descrição;Data autuação;SQL_Incra;Categoria de uso;Zona de uso atual;Zona de uso anterior;Bairro;Área da construção (m²);Proprietário;Área do terreno (m²);Endereço;Aprovação;Dirigente técnico;Responsável pela empresa;Autor do projeto;Responsável pela empresa;"(B)locos / 
(P)avimentos / 
(U)nidades";;;
Janeiro;SMUL/COMIN-2        ;BUTANTA                       ;2017.13.483-01;2016-0.257.933-0;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;22/11/2016;084.216.0014-1;"NR1-02; NR2-03"; ZCOR-3;ZONA EXCLUSIVAMENTE RESIDENCIAL BAIXA D;CIDADE JARDIM;979,64;EMPREENDIMENTOS E PARTICIPAÇÕES JAL LTDA;1.639,56;AV  ALCIDES SANGIRARDI 82 LT 14 A 16 QD 45;04/01/2018;;;;;B: 1 P: 2 U: 0;;;
Janeiro;SMUL/COMIN-2        ;PINHEIROS                     ;2018.01.290-00;2016-0.268.742-7;ALVARA DE APROVACAO E EXECUCAO DE REFORMA;06/12/2016;009.088.0459-8;"NR2-03; NR1"; ZEU;EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ;JARDIM PAULISTA;281,36;FERNANDO FARKOUH;1.210,83;AV  NOVE DE JULHO 3043 ;29/01/2018;GUARACI CESAR PEREIRA POLENGHI;;GUARACI CESAR PEREIRA POLENGHI;;B: 1 P: 0 U: 0;;;
Janeiro;SMUL/GTEC           ;ARICANDUVA/ FORMOSA/ CARRAO     ;2008.04.611-01;2017-0.176.827-1;APOSTILAMENTO DE CERTIFICADO DE REGULARIZACAO;01/12/2017;054.234.0143-7;"S2.8; C2.2; C1.1";;Z2.;VILA FORMOSA;;ESPOLIO DE LAZARO RAMOS  GALHARDO AFONSO;1.902,35;R   LUIZ DOS SANTOS CABRAL 00201 ;22/01/2018;;;;;;;;
Janeiro;SMUL/GTEC           ;ARICANDUVA/ FORMOSA/ CARRAO     ;2018.00.369-00;2003-1.013.616-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;10/09/2003;055.226.0033-0;S2.1;;Z2.;VILA FORMOSA;;JOSE BERNARDINO H E SILVA E OUTRO;351,58;R   ASFALTITE 96 ;11/01/2018;;;ANGELO ANTONIO VILLANO;;;;;
Janeiro;SMUL/GTEC           ;ARICANDUVA/ FORMOSA/ CARRAO     ;2018.00.379-00;2003-1.057.817-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;055.186.0019-4;R;;Z2.;VL FORMOSA;;ILSON ATANASIO PIEMONTE;494,00;PC  LIBERIA 00140 ;11/01/2018;LUCIA DE FATIMA NETO MANSO;;;;;;;
Janeiro;SMUL/GTEC           ;ARICANDUVA/ FORMOSA/ CARRAO     ;2018.00.822-00;2004-1.015.784-4;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;27/12/2004;148.059.0023-6;C2.6;;Z2.;TATUAPE;;CLAUDIO GOMEZ;400,00;R   APARECIDA DE SAO MANUEL 162 ;18/01/2018;;;;;;;;
Janeiro;SMUL/GTEC           ;CASA VERDE/ CACHOEIRINHA       ;2018.00.501-00;2003-1.027.072-0;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/09/2003;076.015.0061-6;"C2.3; R; C1.2";;Z2.;CACHOEIRINHA;;REINALDO HISAO SUGIYAMA E OUTROS;686,00;AV  IMIRIM 26 PC MANUEL C NEGR;12/01/2018;;;;;;;;
Janeiro;SMUL/GTEC           ;CIDADE ADEMAR                 ;2018.00.049-00;2003-1.023.430-8;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;22/09/2003;120.162.0033-1;C2.4;;Z2.;JD ANCHIETA;;CARLOS RODRIGUES;336,00;AV  MANUEL AUGUSTO DE ALVARENGA 00028 ;03/01/2018;JOSE ANTONIO QUEIJO FELIX;;;;;;;
Janeiro;SMUL/GTEC           ;IPIRANGA                      ;2018.00.118-00;2004-1.013.761-4;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;23/12/2004;044.011.0046-8;I2;;Z6-031.;MOOCA;;CELSO SAPIENZA;1.260,00;AV  PRESIDENTE WILSON 3609 ;04/01/2018;ROSANGELA GAIBINA;;;;;;;
Janeiro;SMUL/GTEC           ;ITAQUERA                      ;2018.00.405-00;2014-0.154.386-0;CERTIFICADO DE REGULARIZACAO;02/06/2014;114.158.0017-1;R201;;Z2.;LIDER;;DIRCEU ANTONIO KERMICHI BOTARI;415,00;R   MEDIO IGUACU 00098 106;11/01/2018;;;;;;;;
Janeiro;SMUL/GTEC           ;JABAQUARA                     ;2018.00.828-00;2003-1.035.661-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;10/10/2003;089.506.0012-9;C2.4;;Z2.;JABAQUARA;;SANTA CATARINA COMERCIAL E PAPELARIA LTDA;575,00;R   ALBA 00088 84;18/01/2018;;;SERGIO LUIZ FERREIRA ALVES;;;;;
Janeiro;SMUL/GTEC           ;LAPA                          ;2018.00.125-00;2004-1.002.296-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;07/10/2004;079.197.0037-1;S2.1;;Z2.;JAGUARE;;ANDRE LUIZ MENDES VILELA DE ANDRADE;697,26;R   SAO FIDELIS 339 ;04/01/2018;MICHEL RACHID MALUF JUNIOR;;;;;;;
Janeiro;SMUL/GTEC           ;M BOI MIRIM                   ;2018.00.053-00;2003-1.061.452-6;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/11/2003;165.127.0064-2;S3.2;;Z2.;CID FIM DE SEMANA;;EXECUTA NEGÓCIOS IMOBILIÁRIOS LTDA-ME;2.247,07;AV  JACOBUS BALDI 000840 ;03/01/2018;EDISON VAZ MELONIO;;;;;;;
Janeiro;SMUL/GTEC           ;MOOCA                         ;2018.00.370-00;2003-1.029.877-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;26/09/2003;017.072.0010-6;"C3.5; I1";;Z3-092.;PARI;;ANTONIO LUNA VEGA;200,00;R   JOAO BOEMER 01174 ;11/01/2018;;;;;;;;
Janeiro;SMUL/GTEC           ;PIRITUBA                      ;2018.00.858-00;2003-1.028.986-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;25/09/2003;125.139.0109-5;"R1 -01; S2-8";;Z2.;PIRITUBA;;JOSE ANTONIO BORTOLANI;500,00;R   NESPERA 00115 LT 75 E 76;19/01/2018;SERGIO BERNOLDI;;;;;;;
Janeiro;SMUL/GTEC           ;SANTANA/ TUCURUVI              ;2018.00.371-00;2003-1.057.145-2;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;21/11/2003;072.104.0087-7;S2.1;;Z2.;SANTANA;;PMG EMPREENDIMENTOS IMOBILIARIOS S/C LTDA;514,90;R   FREI VICENTE DO SALVADOR 00321 ;11/01/2018;ALEXANDRE MENDONCA MILLEU;;;;;;;
Janeiro;SMUL/GTEC           ;SANTO AMARO                   ;2018.00.502-00;2003-1.019.049-1;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;18/09/2003;088.177.0030-4;E2.1;;Z18-038.;SANTO AMARO;;SOLANGE MONTEIRO DE PAIVA BUENO;609,53;R   PADRE JOSE DE ANCHIETA 01062 ;12/01/2018;ROBERTO TADEU DA SILVA MOURA;;;;;;;
Janeiro;SMUL/GTEC           ;SAO MIGUEL                    ;2018.01.338-00;2003-1.023.192-9;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;22/09/2003;131.103.0064-7;"S2-8; R";;Z2.;JD MATARAZZO;;LUIZ ANTONIO MARQUES;1.000,00;R   DAS ROMAZEIRAS 00071 LTS 6 7 8 QD 9;30/01/2018;JOEL SANTANA SILVA;;;;;;;
Janeiro;SMUL/GTEC           ;SE                            ;2018.00.373-00;2003-1.027.374-5;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;24/09/2003;001.086.0016-5;"C1.2; S2.1";;Z5-002.;CENTRO;;ESPOLIO CELS0 FIGUERO FILHO;197,00;R   DO TESOURO 00047 49 E 53;11/01/2018;WALTER LIMA DAMASCENO;;;;;;;
Janeiro;SMUL/GTEC           ;VILA MARIANA                  ;2018.00.059-00;2003-1.002.208-4;RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;22/07/2003;041.107.0003-5;S2.8;;Z8-CR1-I LIND. Z1.;INDIANOPOLIS;;EMPREENDIMENTOS CRUZ LTDA;1.002,67;AV  INDIANOPOLIS 309 ;03/01/2018;JOSE CARLOS ABIAD;;;;;;;
Janeiro;SMUL/GTEC-1         ;MOOCA                         ;2017.16.420-01;2003-1.008.503-5;APOSTILAMENTO DE AUTO DE REGULARIZACAO LEI N:13.558/2003;22/08/2003;030.085.0052-8;"R202; S2.1";;Z4-065.;TATUAPE;;CLEUZA CALCINA ALVES;372,00;R   ISIDRO TINOCO 000147 /155;16/01/2018;;;;;;;;
Janeiro;SMUL/PARHIS/DHIS    ;CAMPO LIMPO                   ;2013.35.885-03;2017-0.044.771-4;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;16/03/2017;184.246.0017-6;H.I.S; ZEIS-1/W091;Z2.;CAPAO REDONDO;;CDHU;9.649,70;R   EMILIO CONESA 26 ;24/01/2018;JOSE EMILIO DE BARROS;;EDUARDO PERICLE COLZI;;B: 2 P: 5 U: 59;;;
Janeiro;SMUL/PARHIS/DHIS    ;CAMPO LIMPO                   ;2016.20.276-02;2017-0.175.242-1;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;28/11/2017;169.119.0084-1;H.I.S; ZM-3A/002;Z2.;VL ANDRADE;22.162,47;CCISA 27 INCORPORADORA LTDA;6.914,60;R   CARLOS MAGALHAES 00060 ;03/01/2018;;;;;"B: 4 P: 9 U: 70; B: 1 P: 1 U: 0";;;
Janeiro;SMUL/PARHIS/DHIS    ;CAMPO LIMPO                   ;2018.00.686-00;2016-0.100.926-3;ALVARA DE APROVACAO DE EDIFICACAO NOVA;02/05/2016;170.130.0024-7;"R2V; HIS 2; H.M.P; EZEIS"; ZEIS-5;ZONA ESPECIAL DE INTERESSE SOCIAL - 3.;PARAISOPOLIS;52.674,87;VIA NOVA ADMINISTRACAO E CONSTRUCAO LTDA;14.625,84;R   WILSON 99999 LT 11 QD 89;16/01/2018;HERCY MARTINS COSTA;;PAULO MACHADO LISBOA FILHO;;"B: 4 P: 19 U: 146; B: 2 P: 17 U: 130; B: 3 P: 3 U: 0";;;
Janeiro;SMUL/PARHIS/DHIS    ;CASA VERDE/ CACHOEIRINHA       ;2018.00.554-00;2017-0.150.840-7;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;29/09/2017;108.154.0012-7;HIS 2; ZMA;ZONA MISTA DE PROTECAO AMBIENTAL.;JD PERY;486,75;JUNG BUM PARK;290,00;R   DR AURELIANO DUARTE 00242 JD PERY;12/01/2018;ODAIR CORDEIRO VAZ;;ODAIR CORDEIRO VAZ;;B: 1 P: 3 U: 12;;;
Janeiro;SMUL/PARHIS/DHIS    ;CIDADE TIRADENTES             ;2017.08.692-02;2017-0.107.179-3;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;04/07/2017;237.008.0078-7;"H.I.S; H.M.P"; ZEIS-1/L143;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;GUAIANAZES;676,70;PERSPECTIVA CONSTRUTORA E INCORPORTADORA LTDA EPP;1.017,00;R   ARTUR FRANCO 347 LT 21 QD 2;05/01/2018;;;;;;;;
Janeiro;SMUL/PARHIS/DHIS    ;CIDADE TIRADENTES             ;2017.80.831-01;2017-0.107.179-3;APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO;04/07/2017;237.008.0078-7;"H.I.S; H.M.P";ZONEAMENTO ANTERIOR: 09000000.;;GUAIANAZES;676,70;PERSPECTIVA CONSTRUTORA E INCORPORTADORA LTDA EPP;1.017,00;R   ARTUR FRANCO 347 LT 21 QD 2;05/01/2018;;;;;;;;
Janeiro;SMUL/PARHIS/DHIS    ;CIDADE TIRADENTES             ;2018.00.865-00;2016-0.215.901-3;ALVARA DE APROVACAO DE EDIFICACAO NOVA;23/09/2016;246.034.0257-9;HIS 1; ZMISA;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;STA ETELVINA IIA;1.642,10;COHAB;1.192,68;R   IGARAPE DO INDIO 99999 LT 05 QD 37H;19/01/2018;ADELCKE ROSSETTO NETTO;;ADELCKE ROSSETTO NETTO;;"B: 1 P: 5 U: 25; B: 1 P: 1 U: 0";;;
Janeiro;SMUL/PARHIS/DHIS    ;CIDADE TIRADENTES             ;2018.00.866-00;2016-0.222.540-7;ALVARA DE APROVACAO DE EDIFICACAO NOVA;03/10/2016;246.033.0611-1;HIS 1; ZMISA;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;STA ETELVINA IIA;1.583,73;COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO - COHAB;842,14;R   IGARAPE DO FRADE 99999 LT 14 QD 31H;19/01/2018;ADELCKE ROSSETTO NETTO;;ADELCKE ROSSETTO NETTO;;B: 1 P: 5 U: 25;;;
Janeiro;SMUL/PARHIS/DHIS    ;CIDADE TIRADENTES             ;2018.00.985-00;2016-0.222.540-7;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;03/10/2016;246.033.0611-1;HIS 1; ZMISA;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;STA ETELVINA IIA;;COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO - COHAB;;R   IGARAPE DO FRADE 99999 LT 14 QD 31H;22/01/2018;ADELCKE ROSSETTO NETTO;;ADELCKE ROSSETTO NETTO;;;;;
Janeiro;SMUL/PARHIS/DHIS    ;CIDADE TIRADENTES             ;2018.00.986-00;2016-0.215.901-3;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;23/09/2016;246.034.0257-9;HIS 1; ZMISA;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;STA ETELVINA IIA;;COHAB;;R   IGARAPE DO INDIO 99999 LT 05 QD 37H;22/01/2018;ADELCKE ROSSETTO NETTO;;ADELCKE ROSSETTO NETTO;;;;;
Janeiro;SMUL/PARHIS/DHIS    ;ERMELINO MATARAZZO            ;2017.23.481-01;2017-0.116.046-0;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;20/07/2017;110.182.0008-7;HIS 2; ZEIS-1;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;JD. PENHA;420,65;BM7 EMPREENDIMENTOS IMOBILIARIOS - EIRELI;284,55;R   JACOME TELES DE MENEZES 245 ;05/01/2018;;;;;;;;
Janeiro;SMUL/PARHIS/DHIS    ;GUAIANASES                    ;2018.00.884-00;2016-0.248.069-5;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;07/11/2016;135.344.0006-1;HIS 2; ZEIS-1;ZONA ESPECIAL DE INTERESSE SOCIAL - 1.;VL NANCY;504,15;ALEXANDRE MARCELO LEITE;248,94;R   ANTONIO DE BARCELOS 999999 ;19/01/2018;MARCO ANTONIO DIAS PINTO;;MARCO ANTONIO DIAS PINTO;;B: 1 P: 3 U: 12;;;
Janeiro;SMUL/PARHIS/DHIS    ;ITAQUERA                      ;2018.00.883-00;2014-0.010.382-3;ALVARA DE APROVACAO DE EDIFICACAO NOVA;13/01/2014;232.041.0031-4;"H.M.P; HIS 2"; ZEIS-5;ZONA MISTA DE BAIXA DENSIDADE.;ITAQUERA;23.216,67;FERNANDO HUGO LOPES DE OLIVEIRA;8.973,97;AV  AFONSO DE SAMPAIO E SOUSA 299 ;19/01/2018;ALEXANDRE CALAZANS ALBUQUERQUE;;"JESSICA SARLI                                               ; ALEXANDRE CALAZANS ALBUQUERQUE";;"B: 3 P: 19 U: 150; B: 1 P: 2 U: 0; B: 1 P: 1 U: 0";;;
Janeiro;SMUL/PARHIS/DHIS    ;PENHA                         ;2018.00.885-00;2017-0.155.843-9;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;11/10/2017;057.180.0014-1;HIS 2; ZM;ZONA MISTA DE BAIXA DENSIDADE.;PENHA;593,46;INACIO COSTA 491 SPE LTDA;307,50;R   INACIO COSTA 00491 ;19/01/2018;MARCO ANTONIO DIAS PINTO;;MARCO ANTONIO DIAS PINTO;;B: 1 P: 3 U: 15;;;
Janeiro;SMUL/PARHIS/DHIS    ;SANTANA/ TUCURUVI              ;2018.00.205-00;2017-0.061.993-0;ALVARA DE APROVACAO DE EDIFICACAO NOVA;11/04/2017;070.413.0030-7;"HIS 2; NR2"; ZC;ZONA MISTA DE MEDIA DENSIDADE.;MANDAQUI;8.467,70;ARLENE HOLANDA DA SILVA;1.387,32;R   GENERAL NESTOR PASSOS 00226 ;05/01/2018;MCJ CONSTRUTORA E EMPREENDIMENTOS IMOBILIARIOS EIRELI EP;ALAN DE JESUS SANTOS;ONEX ARQUITETURA LTDA;FLAVIO GOMES DE OLIVEIRA;B: 1 P: 17 U: 120;;;
Janeiro;SMUL/PARHIS/DHIS    ;SAO MIGUEL                    ;2018.01.342-00;2017-0.095.384-9;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;09/06/2017;112.034.0004-6;HIS 2; ZMA;ZONA MISTA DE BAIXA DENSIDADE.;INAS;484,66;NEW AGE EMPREENDIMENTO IMOBILIARIO SPE LTDA;250,00;R   ANTONIO XAVIER 00100 CHACARA TRES MEN;30/01/2018;RICARDO RODRIGUEZ DOMINGUEZ;;RICARDO RODRIGUEZ DOMINGUEZ;;B: 1 P: 3 U: 8;;;
Janeiro;SMUL/PARHIS/DHIS    ;SE                            ;2018.01.201-00;2016-0.273.651-7;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;19/12/2016;006.020.0541-8;"R2V; HIS 2"; ZC;Z5-002.;REPUBLICA;7.376,85;GILBERTO F R A CHATEAUBRIAND BANDEIRA DE MELLO;972,23;AV  NOVE DE JULHO 00544 ;24/01/2018;JOSEF CZITROM;;DEMOSTHENES MAGNO SANTOS;;B: 1 P: 17 U: 198;;;
